2020-01-25 22:44:17.344571:	---Screeshot taken: saved to C:\Users\magra\PycharmProjects\hackingWithPython\keylogger\screencaps\screen_2020_01_25_22_44_17.png---
2020-01-25 22:57:00.822550:	---Screeshot taken: saved to C:\Users\magra\PycharmProjects\hackingWithPython\keylogger\screencaps\screen_2020_01_25_22_57_00.png---
2020-01-25 22:57:06.356029:	<ENTER>

2020-01-25 22:57:06.980714:	'
2020-01-25 22:57:08.497317:	'
2020-01-25 22:57:08.684760:	%
2020-01-25 22:58:26.845070:	--PROGRAM STARTED--
2020-01-25 22:58:27.032527:	---Screeshot taken: saved to C:\Users\magra\PycharmProjects\hackingWithPython\keylogger\screencaps\screen_2020_01_25_22_58_26.png---
2020-01-25 22:58:29.391767:	1
2020-01-25 22:58:30.578879:	2
2020-01-25 22:58:32.971718:	3
2020-01-25 22:58:33.391600:	J
2020-01-25 22:58:33.454186:	A
2020-01-25 22:58:33.719591:	C
2020-01-25 22:58:33.875885:	O
2020-01-25 22:58:34.708474:	V
2020-01-25 22:58:35.549219:	B
2020-01-25 22:58:36.314917:	º
2020-01-25 22:58:42.234361:	---Screeshot taken: saved to C:\Users\magra\PycharmProjects\hackingWithPython\keylogger\screencaps\screen_2020_01_25_22_58_42.png---
2020-01-25 22:58:54.708027:	'
2020-01-25 22:58:54.796740:	G
2020-01-25 22:58:54.913277:	I
2020-01-25 22:58:55.014776:	T
2020-01-25 22:58:55.315852:	 
2020-01-25 22:58:55.612031:	A
2020-01-25 22:58:55.758666:	D
2020-01-25 22:58:55.912543:	D
2020-01-25 22:58:56.041296:	 
2020-01-25 22:58:56.278082:	.
